2023-08-20T16:32:26.731+0800	info	raft/raft.go:306	节点创建
2023-08-20T16:32:26.731+0800	info	raft/raft.go:251	节点更新发起选举时间为29ms后
2023-08-20T16:32:26.915+0800	info	raft/raft.go:251	节点更新发起选举时间为12ms后
2023-08-20T16:32:26.915+0800	info	raft/election.go:150	发起term为 1 的选举
2023-08-20T16:32:26.915+0800	info	raft/election.go:130	收到0的投票
2023-08-20T16:32:26.915+0800	info	raft/election.go:171	节点成为leader
2023-08-20T16:32:26.915+0800	info	raft/raft.go:251	节点更新发起选举时间为120ms后
2023-08-20T16:32:26.915+0800	info	raft/appendentry.go:124	给节点0发送心跳成功
2023-08-20T16:32:26.915+0800	info	raft/appendentry.go:136	0 日志没有冲突
2023-08-20T16:32:26.915+0800	info	raft/appendentry.go:124	给节点1发送心跳成功
2023-08-20T16:32:26.915+0800	info	raft/appendentry.go:136	1 日志没有冲突
2023-08-20T16:32:26.976+0800	info	raft/raft.go:251	节点更新发起选举时间为65ms后
2023-08-20T16:32:26.976+0800	info	raft/raft.go:251	节点更新发起选举时间为79ms后
2023-08-20T16:32:26.976+0800	info	raft/appendentry.go:124	给节点0发送心跳成功
2023-08-20T16:32:26.976+0800	info	raft/appendentry.go:136	0 日志没有冲突
2023-08-20T16:32:26.976+0800	info	raft/appendentry.go:124	给节点1发送心跳成功
2023-08-20T16:32:26.976+0800	info	raft/appendentry.go:136	1 日志没有冲突
2023-08-20T16:32:27.038+0800	info	raft/raft.go:251	节点更新发起选举时间为96ms后
2023-08-20T16:32:27.038+0800	info	raft/raft.go:251	节点更新发起选举时间为88ms后
2023-08-20T16:32:27.038+0800	info	raft/appendentry.go:124	给节点0发送心跳成功
2023-08-20T16:32:27.038+0800	info	raft/appendentry.go:124	给节点1发送心跳成功
2023-08-20T16:32:27.038+0800	info	raft/appendentry.go:136	1 日志没有冲突
2023-08-20T16:32:27.038+0800	info	raft/appendentry.go:136	0 日志没有冲突
2023-08-20T16:32:27.100+0800	info	raft/raft.go:251	节点更新发起选举时间为100ms后
2023-08-20T16:32:27.100+0800	info	raft/raft.go:251	节点更新发起选举时间为17ms后
2023-08-20T16:32:27.100+0800	info	raft/appendentry.go:124	给节点1发送心跳成功
2023-08-20T16:32:27.100+0800	info	raft/appendentry.go:136	1 日志没有冲突
2023-08-20T16:32:27.100+0800	info	raft/appendentry.go:124	给节点0发送心跳成功
2023-08-20T16:32:27.100+0800	info	raft/appendentry.go:136	0 日志没有冲突
2023-08-20T16:32:27.161+0800	info	raft/raft.go:251	节点更新发起选举时间为80ms后
2023-08-20T16:32:27.161+0800	info	raft/raft.go:251	节点更新发起选举时间为84ms后
2023-08-20T16:32:27.161+0800	info	raft/appendentry.go:124	给节点1发送心跳成功
2023-08-20T16:32:27.161+0800	info	raft/appendentry.go:136	1 日志没有冲突
2023-08-20T16:32:27.161+0800	info	raft/appendentry.go:124	给节点0发送心跳成功
2023-08-20T16:32:27.161+0800	info	raft/appendentry.go:136	0 日志没有冲突
2023-08-20T16:32:27.223+0800	info	raft/raft.go:251	节点更新发起选举时间为45ms后
2023-08-20T16:32:27.223+0800	info	raft/raft.go:251	节点更新发起选举时间为51ms后
2023-08-20T16:32:27.223+0800	info	raft/appendentry.go:124	给节点0发送心跳成功
2023-08-20T16:32:27.223+0800	info	raft/appendentry.go:136	0 日志没有冲突
2023-08-20T16:32:27.223+0800	info	raft/appendentry.go:124	给节点1发送心跳成功
2023-08-20T16:32:27.223+0800	info	raft/appendentry.go:136	1 日志没有冲突
2023-08-20T16:32:27.284+0800	info	raft/raft.go:251	节点更新发起选举时间为82ms后
2023-08-20T16:32:27.284+0800	info	raft/raft.go:251	节点更新发起选举时间为76ms后
